Feature,Importance
Flow Duration,0.19965057547853024
Max Packet Length,0.15421283854252066
Flow IAT Max,0.10192620286523953
Fwd IAT Std,0.09241957873956505
Bwd Packet Length Mean,0.06533933520842292
Bwd IAT Std,0.0632498637572754
Fwd IAT Total,0.06203565748022195
Avg Bwd Segment Size,0.054009106057138115
Packet Length Mean,0.0488532823913891
Average Packet Size,0.04565338099714598
Packet Length Std,0.0314998032806402
Fwd IAT Max,0.018024855003408686
Packet Length Variance,0.013808954896235884
Idle Min,0.013225462085096977
Bwd Packet Length Std,0.01077880296717158
Flow IAT Std,0.009645863388589393
Bwd Packet Length Max,0.008403981121547565
Idle Mean,0.006034469177324784
FIN Flag Count,0.0010201206370297519
Idle Max,0.0002078659255062304
