Feature,Importance
Bwd Packet Length Std,0.3725304429920884
Average Packet Size,0.22581325292489543
Packet Length Std,0.08952875243040406
Flow IAT Std,0.06312377308388209
Idle Min,0.053501874540269244
Bwd Packet Length Mean,0.050903921937018294
Fwd IAT Total,0.021391930921046385
Flow IAT Max,0.019672954944887393
Bwd IAT Std,0.016873713476416956
Avg Bwd Segment Size,0.015654110200272454
Flow Duration,0.013751084920090436
Fwd IAT Max,0.012276722485890396
Max Packet Length,0.011280242085346703
Packet Length Variance,0.009387196861487744
Idle Mean,0.008983693883941327
Bwd Packet Length Max,0.005137175957139417
Packet Length Mean,0.004746701550775504
Fwd IAT Std,0.004374616311673628
FIN Flag Count,0.0006680439876094929
Idle Max,0.00039979450486464973
