Feature,Importance
Bwd Packet Length Max,0.6497466305526509
Bwd Packet Length Std,0.13112984362938046
Average Packet Size,0.07935596572147337
Packet Length Variance,0.03442032128462277
Flow IAT Std,0.022022217125051518
Idle Mean,0.021622943000064083
Bwd Packet Length Mean,0.015565397462399983
Avg Bwd Segment Size,0.007903056533572265
Fwd IAT Total,0.006840419684238263
Flow IAT Max,0.006787653420173163
Bwd IAT Std,0.005915136848671567
Flow Duration,0.005152726665879355
Fwd IAT Max,0.004842979652185343
Max Packet Length,0.004317111953926766
Packet Length Mean,0.0017923357386462888
Fwd IAT Std,0.0017119878505859022
Idle Min,0.0002410152458302116
FIN Flag Count,0.0002384624664722037
Idle Max,0.00021027589096347916
Packet Length Std,0.0001835192732120302
