Feature,Importance
Flow Duration,0.12522766367233398
Avg Bwd Segment Size,0.11660960983233123
Bwd Packet Length Std,0.10414770069299618
Bwd Packet Length Max,0.09820906013014788
Max Packet Length,0.08613827683117442
Bwd Packet Length Mean,0.08005334915811861
Fwd IAT Max,0.07239733581434685
Flow IAT Max,0.06826942031243435
Fwd IAT Total,0.060563721447281144
Packet Length Std,0.052520199897980575
Packet Length Variance,0.03882147541832694
Average Packet Size,0.03484706805261924
Packet Length Mean,0.02586528864431335
Flow IAT Std,0.015617795394014686
Fwd IAT Std,0.010045772003102119
Idle Mean,0.003683872133243498
Idle Min,0.0033916325874250907
Idle Max,0.0024490566263993185
Bwd IAT Std,0.0011417013514106284
FIN Flag Count,0.0
