Feature,Importance
Bwd Packet Length Std,0.15415735436496844
Avg Bwd Segment Size,0.14562511227742866
Bwd Packet Length Mean,0.11011451934566206
Packet Length Std,0.10088595516510108
Packet Length Variance,0.1002466885326409
Max Packet Length,0.06841975480836925
Packet Length Mean,0.05998438225531649
Average Packet Size,0.05645266182631603
Flow IAT Max,0.053178754525249027
Bwd Packet Length Max,0.04277172022944562
Idle Min,0.03110992655013217
Idle Max,0.021169328342812946
Idle Mean,0.01795610650656489
Fwd IAT Max,0.017501431630564054
Fwd IAT Std,0.016498930330745735
Flow IAT Std,0.002133336654724748
Fwd IAT Total,0.0017940366539580704
Flow Duration,0.0
Bwd IAT Std,0.0
FIN Flag Count,0.0
