Feature,Importance
Avg Bwd Segment Size,0.17335368438435345
Bwd Packet Length Max,0.1520986749684532
Max Packet Length,0.13086001498250652
Bwd Packet Length Mean,0.11556849720329292
Bwd Packet Length Std,0.10064287935529304
Packet Length Mean,0.094251505736512
Packet Length Variance,0.05750430729028365
Average Packet Size,0.0536610115745565
Packet Length Std,0.02965017617297908
Fwd IAT Total,0.027923876909213233
Flow Duration,0.027812722736611086
Bwd IAT Std,0.011893459954422314
FIN Flag Count,0.011604070421037739
Idle Min,0.00745292657218971
Flow IAT Max,0.0028687359361422604
Idle Max,0.002840332825143602
Flow IAT Std,1.0035566384842475e-05
Fwd IAT Std,2.8064760910440757e-06
Fwd IAT Max,2.8093453386153764e-07
Idle Mean,0.0
